   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
  90,          2223,            2135,            593,       803,         203,        126,          4005,              89,            288,      899,        513,       132
  91,          2267,            2178,            607,       748,         214,        124,          4095,              86,            275,      901,        504,       131
  92,          2326,            2236,            626,       796,         217,        128,          4186,              90,            281,      918,        520,       136
  93,          2333,            2242,            613,       931,         208,        138,          4278,              92,            286,      928,        524,       135
  94,          2426,            2335,            633,       862,         218,        137,          4371,              91,            298,      941,        533,       137
  95,          2504,            2412,            674,       839,         218,        154,          4465,              90,            301,      955,        538,       140
  96,          2518,            2425,            673,       840,         214,        134,          4560,              91,            305,      967,        553,       144
  97,          2576,            2482,            688,       787,         220,        133,          4656,              92,            311,      990,        562,       145
  98,          2578,            2483,            686,       892,         225,        139,          4753,              93,            317,     1003,        567,       165
  99,          2633,            2537,            699,       843,         232,        136,          4851,              91,            330,     1022,        579,       150
 100,          2660,            2563,            711,       870,         235,        139,          4950,              95,            332,     1035,        589,       153
 101,          2740,            2642,            733,       917,         239,        145,          5050,              94,            347,     1049,        590,       154
 102,          2808,            2709,            746,       906,         234,        146,          5151,              99,            345,     1057,        599,       155
 103,          2812,            2712,            754,       928,         245,        148,          5253,             100,            356,     1075,        604,       157
 104,          2915,            2815,            788,      1012,         252,        156,          5356,              97,            362,     1084,        615,       166
 105,          2928,            2827,            775,      1032,         245,        165,          5460,              99,            367,     1092,        621,       161
 106,          3010,            2908,            808,      1086,         235,        161,          5565,             100,            371,     1107,        626,       172
 107,          3015,            2912,            804,       947,         258,        158,          5671,             104,            382,     1121,        634,       165
 108,          3020,            2916,            809,       961,         252,        152,          5778,             104,            395,     1133,        646,       167
 109,          3115,            3010,            831,       945,         256,        152,          5886,             102,            393,     1144,        646,       169
 110,          3127,            3021,            834,       983,         260,        156,          5995,             103,            405,     1164,        659,       170
 111,          3217,            3110,            859,      1083,         254,        165,          6105,             108,            413,     1171,        652,       171
 112,          3246,            3138,            868,       938,         253,        152,          6216,             106,            437,     1192,        678,       176
 113,          3348,            3239,            905,       991,         262,        159,          6328,             107,            429,     1192,        671,       175
 114,          3409,            3299,            913,      1020,         264,        167,          6441,             107,            429,     1215,        691,       179
 115,          3513,            3402,            944,      1041,         271,        165,          6555,             106,            444,     1227,        690,       181
 116,          3566,            3454,            951,      1010,         280,        181,          6670,             108,            449,     1254,        708,       184
 117,          3671,            3558,            985,      1008,         277,        164,          6786,             112,            456,     1256,        702,       183
 118,          3686,            3572,            981,      1057,         270,        168,          6903,             116,            488,     1277,        722,       189
 119,          3738,            3623,           1112,      1101,         290,        184,          7021,             115,            465,     1281,        725,       195
 120,          3833,            3717,           1033,      1192,         281,        190,          7140,             113,            481,     1311,        733,       198
 121,          3883,            3766,           1062,      1189,         288,        341,          7260,             114,            483,     1316,        738,       196
 122,          3908,            3790,           1123,      1217,         276,        221,          7381,             116,            532,     1329,        744,       202
 123,          3915,            3796,           1169,      1136,         278,        210,          7503,             116,            506,     1342,        750,       200
 124,          4000,            3880,           1139,      1141,         286,        183,          7626,             118,            508,     1346,        754,       204
 125,          4078,            3957,           1209,      1187,         292,        191,          7750,             121,            525,     1362,        767,       239
 126,          4130,            4008,           1537,      1295,         301,        412,          7875,             120,            680,     1367,        768,       206
 127,          4193,            4070,           1102,      1210,         303,        190,          8001,             124,            526,     1392,        780,       210
 128,          4307,            4183,           1131,      1135,         305,        182,          8128,             121,            544,     1404,        789,       205
 129,          4385,            4260,           1154,      1125,         295,        180,          8256,             124,            554,     1401,        778,       204
 130,          4498,            4372,           1189,      1577,         293,        226,          8385,             128,            577,     1424,        794,       208
 131,          4617,            4490,           1229,      1266,         307,        207,          8515,             126,            565,     1428,        796,       211
 132,          4729,            4601,           1266,      1400,         315,        219,          8646,             127,            577,     1440,        799,       211
 133,          4836,            4707,           1320,      1272,         319,        204,          8778,             127,            583,     1463,        809,       218
 134,          4861,            4731,           1286,      1292,         304,        197,          8911,             129,            587,     1465,        813,       211
 135,          4942,            4811,           1333,      1445,         321,        217,          9045,             133,            615,     1494,        825,       217
 136,          5034,            4902,           1344,      1444,         320,        217,          9180,             132,            605,     1503,        834,       220
 137,          5153,            5020,           1368,      1220,         331,        197,          9316,             134,            620,     1514,        838,       224
 138,          5229,            5095,           1388,      1223,         340,        203,          9453,             133,            629,     1517,        841,       222
 139,          5242,            5107,           1399,      1510,         337,        227,          9591,             135,            662,     1539,        861,       224
 140,          5270,            5134,           1396,      1309,         335,        209,          9730,             134,            656,     1555,        858,       226
 141,          5352,            5215,           1449,      1361,         338,        219,          9870,             137,            651,     1563,        867,       237
 142,          5368,            5230,           1423,      1384,         357,        219,         10011,             136,            667,     1586,        882,       241
 143,          5493,            5354,           1467,      1494,         339,        229,         10153,             138,            700,     1597,        888,       231
 144,          5603,            5463,           1511,      1356,         352,        217,         10296,             139,            680,     1607,        891,       232
 145,          5657,            5516,           1521,      1446,         373,        228,         10440,             140,            689,     1639,        912,       239
 146,          5758,            5616,           1558,      1400,         363,        231,         10585,             140,            704,     1636,        910,       239
 147,          5882,            5739,           1609,      1570,         354,        236,         10731,             143,            713,     1672,        931,       244
 148,          5954,            5810,           1601,      1502,         361,        230,         10878,             142,            725,     1676,        932,       249
 149,          6050,            5905,           1627,      1453,         363,        247,         11026,             145,            765,     1685,        933,       245
 150,          6188,            6042,           1744,      1585,         366,        247,         11175,             146,            738,     1702,        942,       254
 151,          6262,            6115,           1678,      1429,         377,        231,         11325,             141,            749,     1732,        963,       252
 152,          6283,            6135,           1655,      1591,         366,        242,         11476,             145,            750,     1741,        967,       253
 153,          6405,            6256,           1693,      1569,         370,        242,         11628,             148,            775,     1753,        972,       254
